type	id	name	imageId	dye
npc	227	공성타이머	999	0
npc	257	웅담GM	-1	0
npc	392	인던체크	1000	0
npc	447	웅담GM	-1	0
npc	563	주몽	-86	0
npc	564	오이	-87	0
npc	565	협부	-88	0
npc	566	마리	-89	0
npc	604	초도	705	0
npc	605	산예	704	0
npc	606	애차	703	0
npc	607	공하	702	0
npc	608	삼지연놀이자	696	0
npc	609	삼지연공부자	707	0
npc	610	도차	701	0
npc	611	중독된폐한	700	0
npc	612	폐한	700	0
npc	613	백두산사향장인	692	0
npc	614	포뢰	699	0
npc	616	백두산북장인	693	0
npc	617	이문	698	0
npc	618	비희	697	0
npc	620	백두촌대장장이	694	0
npc	621	백두촌포목상	695	0
npc	623	백두촌잡화상	696	0
npc	624	백두촌푸주한	696	0
monster	0	지옥무영	0	0
monster	1155	좋은나무	677	0
monster	1331	북방목	1000	0
monster	1336	벼	999	0
monster	1500	황담비	690	0
monster	1501	백담비	690	8
monster	1502	흑담비	690	1
monster	1507	인면노루	688	0
monster	1510	백두요괴거목	677	1
monster	1511	백두요괴백목	677	8
monster	1512	백두요괴목	677	0
monster	1515	이리	681	0
monster	1516	날쌘이리	681	5
monster	1517	백두산이리왕	681	1
monster	1520	백두자표범	683	7
monster	1521	백두표범	684	24
monster	1522	백두흑표범	684	0
monster	1527	거대북살모사	675	0
monster	1530	북올빼미	678	0
monster	1531	흑올빼미	678	12
monster	1532	적원앙괴	686	0
monster	1533	청원앙괴	685	0
monster	1535	백두황자웅	682	0
monster	1536	백두패자웅	682	5
monster	1537	백두요괴웅	680	0
monster	1538	기룡	676	0
monster	1540	극독살모사	675	3
monster	1541	묘두괴웅	678	11
monster	1542	흉면노루	688	14
monster	1543	요괴수목	677	5
monster	1544	적파수웅	680	5
monster	1545	조역자룡	689	19
monster	1546	속역자룡	689	28
monster	1547	공역자룡	689	3
monster	1548	암흑룡인	691	0
monster	1550	일요의정	711	0
monster	1551	월요의정	712	0
monster	1552	화요의정	713	0
monster	1553	수요의정	714	0
monster	1554	목요의정	715	0
monster	1555	금요의정	717	0
monster	1556	토요의정	718	0
monster	1557	팔요의정	710	0
monster	45731	덤불묘목	736	0
monster	45732	덤불1	734	0
monster	45733	덤불2	733	0
monster	45734	덤불3	735	0
monster	45735	활엽묘목	736	0
monster	45736	활엽수1	737	0
monster	45737	활엽수2	743	0
monster	45738	활엽수3	741	0
monster	45739	활엽수4	740	0
monster	45740	활엽수5	745	0
monster	45741	활엽수6	746	0
monster	45742	활엽수7	738	0
monster	45743	활엽수8	744	0
monster	45744	활엽수9	742	0
monster	45745	활엽수10	739	0
monster	45746	침엽묘목	736	0
monster	45747	침엽수1	747	0
monster	45748	침엽수2	748	0
monster	45749	침엽수3	750	0
monster	45750	침엽수4	751	0
monster	45751	침엽수5	752	0
monster	50001	직업전사	-2	5
monster	50002	직업도적	-3	5
monster	50003	직업술사	-4	5
monster	50004	직업도사	-5	5
monster	60010	주몽	-86	0
monster	60011	오이	-87	0
monster	60012	협부	-88	0
monster	60013	마리	-89	0
monster	60016	공성카운트	999	0
