아이템ID	이름	원본이미지번호
55	수련봉	2581
56	수련검	2580
74	흰색하트풍선	3923
75	작은물병	2491
76	깃털용빗	2491
78	태극기	3457
525	별풍선0	3197
526	별풍선1	3197
527	별풍선2	3197
528	별풍선3	3197
529	별풍선4	3197
530	별풍선5	3197
531	별풍선6	3197
532	별풍선7	3197
533	별풍선8	3197
534	별풍선9	3197
535	별풍선10	3197
536	별풍선11	3197
537	별풍선12	3197
538	별풍선13	3197
539	별풍선14	3197
540	별풍선15	3197
541	별풍선16	3197
542	별풍선17	3197
543	별풍선18	3197
544	별풍선19	3197
545	별풍선20	3197
546	별풍선21	3197
547	별풍선22	3197
548	별풍선23	3197
549	별풍선24	3197
550	별풍선25	3197
551	별풍선26	3197
552	별풍선27	3197
553	별풍선28	3197
554	별풍선29	3197
555	별풍선30	3197
556	별풍선31	3197
1026	화분천검	2630
1027	국본검	2576
1042	일식천부연검	2573
1043	이식천부연검	2573
1044	삼식천부연검	2573
1045	사식천부연검	2573
1046	오식천부연검	2573
1047	육식천부연검	2573
1048	칠식천부연검	2573
1049	팔식천부연검	2573
1050	진천부연검	2568
1051	진'진일신검	5195
1052	구곡검'흑	5178
1053	용마제십검	5264
1225	수류곡도	2631
1226	장예도	2577
1242	일식천부연도	2573
1243	이식천부연도	2573
1244	삼식천부연도	2573
1245	사식천부연도	2573
1246	오식천부연도	2573
1247	육식천부연도	2573
1248	칠식천부연도	2573
1249	팔식천부연도	2573
1250	진천부연도	2569
1251	협가검'염	5179
1252	용천제십검	5266
1253	진'청일기창	5193
1425	금기련봉	2633
1426	망월봉	2578
1442	일식천부연봉	2574
1443	이식천부연봉	2574
1444	삼식천부연봉	2574
1445	사식천부연봉	2574
1446	오식천부연봉	2574
1447	육식천부연봉	2574
1448	칠식천부연봉	2574
1449	팔식천부연봉	2574
1450	진천부연봉	2570
1451	진'황염곤봉	5194
1452	영후단봉'극	5176
1453	용랑제십봉	5263
1627	목근정곤	2632
1628	합현곤	2579
1652	일식천부연곤	2575
1653	이식천부연곤	2575
1654	삼식천부연곤	2575
1655	사식천부연곤	2575
1656	오식천부연곤	2575
1657	육식천부연곤	2575
1658	칠식천부연곤	2575
1659	팔식천부연곤	2575
1660	진천부연곤	2571
1661	진'적염곤봉	5196
1662	대모홍접선'혈	5175
1663	용겸제십봉	5268
1831	역사수호깃발	2550
2050	천부연의갑주	2585
2051	천부연의연갑	2586
2250	천부연의여자황실의복	2587
2251	천부연의도복	2588
2450	천부연의도포	2589
2451	천부연의치마	2590
2650	천부연의도포	2591
2651	천부연의치마	2592
2924	백두촌남자평복	2595
2925	백두촌여자평복	2596
2926	원앙의청	2593
2927	원앙의적	2594
2928	남자표범가죽옷	2601
2929	여자표범가죽옷	2602
2930	남자곰가죽옷	2603
2931	여자곰가죽옷	2604
2932	남자명예신선복	2605
2933	여자명예신선복	2606
2934	팔요천의기	2638
2935	팔요천의향	2639
2936	화이트드레스	4394
2937	화이트턱시도	4395
2938	고구려무사복	4974
2939	고구려궁녀복	4976
2940	트렌디트렁크	3535
2941	트렌디비키니	3536
3500	역사수호연등	2551
4082	토선투구	2610
4083	통가죽모자	2545
4084	천부연투구	2546
4085	천부연두건	2547
4086	천부연모자	2548
4087	천부연머리띠	2549
4088	귀마개	2544
5065	칠요구륜	2611
5230	통가죽장갑	2554
5231	천부연장갑	2550
5430	통가죽팔찌	2555
5431	천부연팔찌	2551
5630	통가죽반지	2556
5631	천부연반지	2552
5830	통가죽선류	2557
5833	천부연선류	2553
7000	초심자의노리개	2834
7032	천부연목걸이	2558
7033	천부연귀걸이	2559
7034	천부연구두	2560
7035	천부연골무	2561
9061	담비고기	2476
9062	담비가죽	2477
9063	이리고기	2484
9120	향수코인	2475
9121	흑담비가죽	2477
9122	사향낭	2478
9123	점화석	2479
9124	백두목가지	2481
9125	백두목잎	2482
9126	백두목황금잎	2483
9128	사향	2479
9129	뱀용해독제	2491
9131	거미용해독제	2491
9132	독풀용해독제	2491
10737	신령철	2513
10738	공하의도시락	2500
12086	신선지혼	2521
12130	만병초	2514
12158	상인뿔피리	3095
12192	파마의피리	2480
12206	황금구슬	3329
12207	황금가루	3430
12475	덤불나뭇가지	2481
12476	활엽수나뭇가지	2481
12477	침엽수나뭇가지	2481
14164	이리의어금니	2485
14165	이리의송곳니	2486
14169	표범의가죽	2487
14170	향의지석	2485
14255	표범의발톱	2488
14256	흑표범의발톱	2487
14257	북살모사비늘	2490
14258	북살모사송곳니	2489
14259	올빼미의깃털	2490
14260	빗살발톱	2489
14261	청원앙의깃털	2495
14262	적원앙의깃털	2485
14263	백두웅담	2492
14264	백두곰가죽	2493
14265	곰발바닥	2494
14266	요괴곰의가죽	2493
14267	기룡의가죽	2504
14269	기룡고	2503
14270	실패작골무	2507
14271	대각봉의찰흙	2498
14272	대연지봉의찰흙	2498
14273	소연지봉의찰흙	2498
14274	청석봉의찰흙	2498
14275	백운봉의찰흙	2498
14276	녹명봉의찰흙	2498
14277	천문봉의찰흙	2498
14278	망천후의찰흙	2498
14279	백두봉의찰흙	2498
14280	전음석	2499
14281	일입장패	2612
14282	월입장패	2613
14283	화입장패	2614
14284	수입장패	2615
14285	목입장패	2616
14286	금입장패	2617
14287	토입장패	2618
14288	팔입장패	2619
14299	흑표범의가죽	2487
