//템번	아이템	타입	이미지	착용	염색	최대	내구력	가격	힘제한	민제한	지제한	성별제	레벨제	직업제	승급제	죽었을	버리기가능(=교환여부)	수리여부	수리비용	맡김비용	명명비용	착용스크립트	착용해제스크립트	사용(공격)스크립트	툴팁	설명	공격력																									
//공용무기
1	목도	0	3	1	0	0	1000	10	0	0	0	0	0	0	0	0	1	1	0.01	0	10	-	-	-	-	나무를깎아만들었다	1
7	장창	0	51	10000	0	0	15000	400	0	0	0	0	0	0	0	0	1	1	0.01	40	400	-	-	-	-	기본적인 창.	2
11	철검	0	1622	2	0	0	6000	4000	0	0	0	0	0	0	0	0	1	1	0.6	500	5000	-	-	-	-	강철을 두드려 만들어진 무거운 대검	3
15	진명삼지창	0	746	10001	0	0	20000	10	0	0	0	0	0	0	0	0	1	1	0.1	100	1000	-	-	-	-	세 갈래의 창끝으로 모든 적을 분쇄한다	5
16	백화검	0	59	4	0	0	5000000	10	0	0	0	0	70	0	0	1	1	0	0	10000	10000	-	-	-	-	불타는 검신으로 무엇이든 태운다는 명검	10
17	현랑부	0	646	19	0	0	5000000	10	0	0	0	0	50	0	0	2	1	0	0	700	7000	-	-	-	-	단단하고 날카로운 도끼//템번	8
18	백현모	0	662	10010	0	0	5000000	10	0	0	0	0	70	0	0	2	1	0	0	3000	7000	-	-	-	-	지혜를 상징하며 여러 번 위러진 창날이 특징	9
20	도깨비방망이	0	645	18	0	0	5000000	10	0	0	0	0	50	0	0	2	1	0	0	10000	10000	-	-	-	-	도깨비가 각종 요술을 부릴때 사용한다는 방망이	12
21	진백화검	0	59	4	0	0	5000000	10	0	0	0	0	70	0	0	2	1	0	0	10000	10000	-	-	-	-	한층 더 강하게 타오르는 백화검	12
22	양첨목봉	0	913	60	0	0	100000	10	0	0	0	0	30	0	0	0	1	1	0.3	10000	10000	-	-	-	-	먼 옛날 전설적인 장사 양첨의 혼이 머무른다는 목봉	5
24	뇌진도	0	3	1	0	0	10000	10	0	0	0	0	20	0	0	1	1	0	0.1	1000	2000	-	-	-	-	천둥과 번개의 기운이 담겨 있다고 전해진다	10
25	삼지창	0	56	10001	0	0	5000	10	0	0	0	0	0	0	0	2	1	1	0.5	500	5000	-	-	-	-	-
26	운의제일검	0	756	24	0	0	50	10	0	0	0	0	30	0	0	2	1	0	0	10000	10000	-	-	-	-	먹구름의 기운이 담긴 불가사의한 검	1
27	운의제이검	0	756	24	0	0	40	10	0	0	0	0	40	0	0	2	1	0	0	10000	10000	-	-	-	-	먹구름의 기운이 담긴 불가사의한 검	2
28	운의제삼검	0	756	24	0	0	40	10	0	0	0	0	40	0	0	2	1	0	0	10000	10000	-	-	-	-	먹구름의 기운이 담긴 불가사의한 검	3
