//Class	Level	RequireExp
0	0	0
0	1	0
0	2	300
0	3	600
0	4	900
0	5	1200
0	6	2160
0	7	3240
0	8	4320
0	9	5400
0	10	7560
0	11	9720
0	12	11880
0	13	16200
0	14	20520
0	15	24840
0	16	33480
0	17	42120
0	18	50760
0	19	68040
0	20	85320
0	21	102600
0	22	137160
0	23	171720
0	24	206280
0	25	275400
0	26	344520
0	27	413640
0	28	551880
0	29	690120
0	30	828360
0	31	1028360
0	32	1228360
0	33	1428360
0	34	1698360
0	35	1968360
0	36	2238360
0	37	2648360
0	38	3058360
0	39	3468360
0	40	3908360
0	41	4348360
0	42	4788360
0	43	5438360
0	44	6088360
0	45	6738360
0	46	7618360
0	47	8498360
0	48	9378360
0	49	10678360
0	50	11978360
0	51	13278360
0	52	14748360
0	53	16218360
0	54	17688360
0	55	19848360
0	56	22008360
0	57	24168360
0	58	27018360
0	59	31868360
0	60	36718360
0	61	42478360
0	62	49238360
0	63	56998360
0	64	65488360
0	65	72978360
0	66	81468360
0	67	91178360
0	68	99978360
0	69	109978360
0	70	132978360
0	71	153978360
0	72	179978360
0	73	209978360
0	74	244978360
0	75	279978360
0	76	329978360
0	77	379978360
0	78	439978360
0	79	504978360
0	80	574978360
0	81	649978360
0	82	729978360
0	83	819978360
0	84	914978360
0	85	1014978360
0	86	1119978360
0	87	1229978360
0	88	1339978360
0	89	1459978360
0	90	1579978360
0	91	1709978360
0	92	1839978360
0	93	1989978360
0	94	2149978360
0	95	2309978360
0	96	2479978360
0	97	2669978360
0	98	2869978360
0	99	3069978360
1	6	2400
1	7	3600
1	8	4800
1	9	6000
1	10	8400
1	11	10800
1	12	13200
1	13	18000
1	14	22800
1	15	27600
1	16	32400
1	17	42000
1	18	51600
1	19	70800
1	20	90000
1	21	109200
1	22	147600
1	23	186000
1	24	224400
1	25	262800
1	26	339600
1	27	416400
1	28	493200
1	29	646800
1	30	789400
1	31	943000
1	32	1168000
1	33	1393000
1	34	1618000
1	35	1930600
1	36	2314600
1	37	2539600
1	38	2989600
1	39	3439600
1	40	3889600
1	41	4381120
1	42	4872640
1	43	5364160
1	44	6084160
1	45	6804160
1	46	7787200
1	47	8770240
1	48	9753280
1	49	11193280
1	50	12633280
1	51	14073280
1	52	15703280
1	53	17333280
1	54	18963280
1	55	21363280
1	56	23763280
1	57	26163280
1	58	29663280
1	59	35163280
1	60	39663280
1	61	47063280
1	62	54463280
1	63	62863280
1	64	72183280
1	65	80503280
1	66	89823280
1	67	100273280
1	68	111273280
1	69	124273280
1	70	139273280
1	71	156273280
1	72	176273280
1	73	199273280
1	74	224273280
1	75	254273280
1	76	289273280
1	77	329273280
1	78	374273280
1	79	424273280
1	80	474273280
1	81	529273280
1	82	589273280
1	83	654273280
1	84	724273280
1	85	804273280
1	86	899273280
1	87	994273280
1	88	1099273280
1	89	1204273280
1	90	1349273280
1	91	1479273280
1	92	1579273280
1	93	1679273280
1	94	1789273280
1	95	1909273280
1	96	2039273280
1	97	2159273280
1	98	2379273280
1	99	2609273280
2	6	2100
2	7	2880
2	8	3840
2	9	4840
2	10	6760
2	11	8680
2	12	10600
2	13	14440
2	14	18280
2	15	22120
2	16	29800
2	17	37480
2	18	45160
2	19	60520
2	20	75880
2	21	91240
2	22	121960
2	23	152680
2	24	183400
2	25	244840
2	26	306280
2	27	367720
2	28	490600
2	29	613480
2	30	736360
2	31	916360
2	32	1096360
2	33	1276360
2	34	1526360
2	35	1776360
2	36	2026360
2	37	2386360
2	38	2746360
2	39	3106360
2	40	3496360
2	41	3886360
2	42	4276360
2	43	4856360
2	44	5436360
2	45	6016360
2	46	6796360
2	47	7576360
2	48	8356360
2	49	9506360
2	50	10656360
2	51	11806360
2	52	13116360
2	53	14426360
2	54	15736360
2	55	17656360
2	56	19576360
2	57	21496360
2	58	25696360
2	59	29896360
2	60	34096360
2	61	39216360
2	62	44336360
2	63	49456360
2	64	57436360
2	65	65416360
2	66	73396360
2	67	82056360
2	68	90716360
2	69	99376360
2	70	101076360
2	71	121076360
2	72	131076360
2	73	141076360
2	74	151076360
2	75	161076360
2	76	181076360
2	77	201076360
2	78	231076360
2	79	251076360
2	80	281076360
2	81	311076360
2	82	351076360
2	83	391076360
2	84	431076360
2	85	471076360
2	86	521076360
2	87	571076360
2	88	631076360
2	89	691076360
2	90	761076360
2	91	841076360
2	92	931076360
2	93	1031076360
2	94	1121076360
2	95	1241076360
2	96	1371076360
2	97	1521076360
2	98	1671076360
2	99	1971076360
3	6	2160
3	7	3240
3	8	4320
3	9	5400
3	10	7560
3	11	9720
3	12	11880
3	13	16200
3	14	20520
3	15	24840
3	16	33480
3	17	42120
3	18	50760
3	19	68040
3	20	85320
3	21	102600
3	22	137160
3	23	171720
3	24	206280
3	25	275400
3	26	344520
3	27	413640
3	28	551880
3	29	690120
3	30	828360
3	31	1028360
3	32	1228360
3	33	1428360
3	34	1698360
3	35	1968360
3	36	2238360
3	37	2648360
3	38	3058360
3	39	3468360
3	40	3908360
3	41	4348360
3	42	4788360
3	43	5438360
3	44	6088360
3	45	6738360
3	46	7618360
3	47	8498360
3	48	9378360
3	49	10678360
3	50	11978360
3	51	13278360
3	52	14748360
3	53	16218360
3	54	17688360
3	55	19848360
3	56	22008360
3	57	24168360
3	58	27018360
3	59	31868360
3	60	36718360
3	61	42478360
3	62	49238360
3	63	56998360
3	64	65488360
3	65	72978360
3	66	81468360
3	67	91178360
3	68	99978360
3	69	109978360
3	70	132978360
3	71	153978360
3	72	179978360
3	73	209978360
3	74	244978360
3	75	279978360
3	76	329978360
3	77	379978360
3	78	439978360
3	79	504978360
3	80	574978360
3	81	649978360
3	82	729978360
3	83	819978360
3	84	914978360
3	85	1014978360
3	86	1119978360
3	87	1229978360
3	88	1339978360
3	89	1459978360
3	90	1579978360
3	91	1709978360
3	92	1839978360
3	93	1989978360
3	94	2149978360
3	95	2309978360
3	96	2479978360
3	97	2669978360
3	98	2869978360
3	99	3069978360
4	6	2240
4	7	3280
4	8	4320
4	9	6120
4	10	7920
4	11	9720
4	12	11540
4	13	15860
4	14	20180
4	15	24500
4	16	33140
4	17	41780
4	18	50420
4	19	67700
4	20	84980
4	21	102260
4	22	136260
4	23	170260
4	24	204260
4	25	273260
4	26	342260
4	27	411260
4	28	551260
4	29	691260
4	30	831260
4	31	1011260
4	32	1191260
4	33	1371260
4	34	1661260
4	35	1951260
4	36	2241260
4	37	2651260
4	38	3061260
4	39	3471260
4	40	3911260
4	41	4351260
4	42	4791260
4	43	5431260
4	44	6071260
4	45	6711260
4	46	7591260
4	47	8471260
4	48	9351260
4	49	10651260
4	50	11951260
4	51	13251260
4	52	14751260
4	53	16251260
4	54	17751260
4	55	19911260
4	56	22071260
4	57	25411260
4	58	30261260
4	59	34611260
4	60	41511260
4	61	48411260
4	62	55311260
4	63	63311260
4	64	71311260
4	65	79311260
4	66	89311260
4	67	98311260
4	68	108311260
4	69	118311260
4	70	128311260
4	71	138311260
4	72	158311260
4	73	178311260
4	74	198311260
4	75	218311260
4	76	248311260
4	77	278311260
4	78	308311260
4	79	348311260
4	80	388311260
4	81	438311260
4	82	488311260
4	83	538311260
4	84	598311260
4	85	658311260
4	86	728311260
4	87	808311260
4	88	898311260
4	89	998311260
4	90	1098311260
4	91	1208311260
4	92	1408311260
4	93	1538311260
4	94	1668311260
4	95	1808311260
4	96	1948311260
4	97	2098311260
4	98	2248311260
4	99	2418311260
