// 마법방어 연산법
// 마비를 몹이 방어 하려면 +100
// 절망를 몹이 방어 하려면 +200
// 혼돈를 몹이 방어 하려면 +400
// EX)) 마비, 절망 못쓰게 하려면 300에, 마방 50%면 350 설정.
//번호	이름	이미지	염색	체력	경험치	방어력	크기tp	공격tp	마방	최소뎀	최대뎀	공격	사망	움직임단위초(ms)
0	지옥무영	-0	0	500000000	0	-100	s	2	0	1	1	-	-	650
1	다람쥐	26	5	50	10	70	s	1	0	1	2	-	@다람쥐	2000
2	토끼	22	29	25	5	70	s	2	0	0	0	-	@토끼	1500
3	뱀	27	0	500	80	70	s	1	0	7	14	-	-	1200
4	삽사리	96	5	67	120	67	s	1	0	11	21	-	@삽사리	1300
5	여우	23	5	70	320	40	s	1	0	5	15	-	-	1300
6	강아지	19	5	85	1187	70	s	1	0	5	15	-	-	1300
7	누렁이	199	5	65	812	65	s	1	0	5	15	-	-	1300
8	병든쥐	91	0	320	250	70	s	1	0	8	10	-	@병든쥐	1200
9	독사	27	1	550	1000	70	s	1	0	13	17	-	@독사	1200
10	백사	27	11	1050	1900	55	s	1	0	11	18	-	@백사	1200
11	진백사	27	5	1050	2200	55	s	1	0	43	47	-	@진백사	1200
12	청순록	89	2	1300	2500	40	s	0	0	18	22	-	@청순록	1200
13	적순록	89	31	1200	2800	40	s	0	0	18	22	-	@적순록	1200
14	흑여우	23	10	3000	3800	20	s	1	0	18	22	-	@흑여우	1200
15	백여우	23	11	3500	4200	20	s	0	0	58	62	-	@백여우	1200
16	서여우	23	1	3200	4500	20	s	0	0	38	42	-	@서여우	1200
17	불여우	23	25	4500	13000	10	s	0	0	58	62	-	@불여우	1200
18	돼지	20	4	500	100	0	s	1	0	8	12	-	@돼지	1300
21	이리	624	0	17499	75000	-10	s	0	0	295	305	-	-	1200
22	원랑	573	0	20000	200000	-10	s	0	0	155	165	-	@원랑	1200
23	붉은쥐	91	31	2000	1600	20	s	0	0	100	200	-	@붉은쥐	1200
24	불왕쥐	91	25	3000	3200	0	s	0	0	101	400	-	@불왕쥐	1200
25	흑왕쥐	91	28	2500	2600	5	s	0	0	595	605	-	@흑왕쥐	1200
26	쥐왕	129	0	4000	1000	-10	s	1	110	595	605	-	@쥐왕	1200
27	불토끼	22	25	4500	4000	10	s	0	0	695	705	-	@불토끼	1200
28	토끼왕	132	0	12000	22000	-25	s	1	110	295	305	-	@토끼왕	1200
29	장닭	125	4	9000	80000	-25	s	0	0	916	926	-	@장닭	1200
30	검은닭	125	28	10000	150000	-40	s	0	0	1916	1926	-	@검은닭	1200
31	토종뱀	27	2	8000	90000	-10	s	0	0	1000	1010	-	@토종뱀	1200
32	살모사	27	31	8000	90000	-10	s	0	0	1000	1010	-	@살모사	1200
33	뱀왕	134	0	40000	300000	-30	s	1	110	515	525	-	@뱀왕	1200
34	명돈	20	28	15000	140000	-40	s	1	0	1295	1305	-	-	1200
35	백돈	21	29	15000	120000	-40	s	1	0	995	1005	-	@백돈	1200
36	서해백	20	5	30000	100000	-99	s	1	110	1495	1505	-	@서해백	1200
37	토깽이	442	0	86000	100	-10	s	1	0	500	600	-	-	1200
38	돈돈돈	20	9	300	100	-5	s	1	0	95	105	-	@돈돈돈	1200
39	힘의뱀	27	6	100	100	70	s	1	0	10	20	-	@힘의뱀	1200
40	주사	27	17	1000	1000	35	s	0	0	55	65	-	@주사	1200
41	대사	27	18	1000	1000	35	s	0	0	55	65	-	@대사	1200
42	력사	27	17	1000	1000	35	s	0	0	55	65	-	@력사	1200
43	민사	27	14	1000	1000	35	s	0	0	55	65	-	@민사	1200
44	지사	27	20	1000	1000	35	s	0	0	55	65	-	@지사	1200
45	흑토끼	22	10	200000	120000	-30	s	0		16995	17005	-	@흑토끼	1200
46	상점가포악초성인성초	583	4	800	3000	0	s	1	0	495	505	-	@상점가포악초성인성초	800
47	상점가흉폭초성인성초	582	5	800	3000	0	s	1	0	495	505	-	@상점가흉폭초성인성초	800
48	시궁창쥐	318	2	300	180	70	l	1	0	20	30	-	@시궁창쥐	1200
59	딱총파리	570	0	5000	25000	20	s	0	0	65	75	-	@딱총파리	700
60	마비가시말미잘	576	0	10000	58000	-5	s	0	0	95	105	-	@마비가시말미잘	1000
61	철갑거북	577	0	30000	140000	-15	s	1	140	4995	5005	-	@철갑거북	3000
62	절벽초성인성초	583	1	4500	20000	-20	s	0	0	25	35	-	@절벽초성인성초	800
63	절벽중성인성초	582	1	20000	180000	-20	s	0	0	165	175	-	@절벽중성인성초	800
64	시녀지주	568	0	60000	480000	-30	s	0	0	545	555	-	@시녀지주	1000
65	열대독사	580	0	90000	720000	-30	s	0	0	1495	1505	-	@열독사	1000
67	초성인성초	583	0	5000	30000	20	s	0	0	25	35	-	@초성인성초	800
68	중성인성초	582	0	20000	140000	20	s	0	0	145	155	-	@중성인성초	800
69	토끼부하	22	30	5000	3500	20	s	0	0	995	1005	-	@토끼부하	800
70	흑병아리	122	28	7000	30000	-25	s	0	0	516	526	-	-	1200
71	흑구렁이	34	28	20000	130000	-15	s	0	0	1115	1125	-	@흑구렁이	1200
72	불구렁이	34	25	20000	130000	-15	s	0	0	1115	1125	-	@불구렁이	1200
73	가짜뱀왕	134	11	20000	150000	-25	s	0	0	1515	1525	-	-	1200
