//번호	이름	이미지	염색
0	낙랑	4	4
1	비도	3	1
2	랑구륜	50	0
3	부구륜	50	0
4	선구륜	50	0
5	은구륜	50	0
6	정구륜	50	0
7	왈숙네	15	3
8	연실네	15	3
9	떡쇠	7	3
10	털보	7	3
11	옥이	12	3
12	순이	12	3
13	예쁜이	6	3
14	이쁜이	6	3
15	뭉치	11	3
16	떼보	11	3
17	용상인	87	3
18	좌성황	10	3
19	우성황	10	3
20	마서	39	28
21	마로	39	28
22	예백	40	11
23	태백	40	11
24	처연	41	11
25	해두	41	11
26	선후	88	11
27	진선	88	11
28	도호귀인	74	0
29	백두산상인	549	4
30	고구려왕	496	0
31	부여왕	497	4
32	배전	44	0
33	흑천	563	0
34	초보사냥터도우미	82	0
35	쥐굴도우미	82	0
36	사슴굴도우미	82	0
37	돼지굴도우미	82	0
38	곰굴도우미	82	0
39	여우굴도우미	82	0
40	인형굴도우미	82	0
41	해골굴도우미	82	0
42	유령굴도우미	82	0
43	흑해골굴도우미	82	0
44	흑령굴굴도우미	82	0
45	사마귀굴도우미	82	0
46	전갈굴도우미	82	0
47	백륜동도우미	82	0
48	물망동도우미	82	0
49	흉가도우미	82	0
50	자호굴도우미	82	0
51	비밀세작도우미	82	0
53	암표상	302	0
55	사용자오엑스도우미	72	0
56	영채	57	0
57	얼음돌이	87	3
58	사용자오엑스도우미	58	0
59	떡쇠마누라	15	3
60	부여무기장인	68	1
61	옹기장수	78	3
62	방물장수	6	3
63	소소	547	4
64	재봉사	78	3
65	테스트1	494	10
66	테스트2	91	0
67	고구려경비대장	492	4
68	고구려경비병	493	4
69	부여경비대장	492	7
70	부여경비병	493	7
71	테스트3	78	8
72	폭12지입장	87	3
73	방송	87	3
74	테스트4	264	5
75	용왕	416	0
76	좌선녀	414	0
77	우선녀	415	0
78	고용상인	302	0
79	부여선원	305	0
80	배	321	0
83	일본포목상	6	3
84	일본주모	15	3
85	일본푸줏간	12	3
86	일본대장장이	7	3
87	백이	87	3
88	이동엔피씨	87	3
89	문파대리인	204	0
90	천성현	220	0
91	도삭산주모	486	3
92	도삭산200층갑옷상	489	0
93	파괴왕	297	0
94	테스트5	147	10
95	무타	544	0
96	천성랑	50	0
97	무한장	87	3
98	용노인	170	11
99	신생유저도우미	448	0
100	장안황제	498	0
101	북방상점1	64	0
102	북방상점2	65	0
103	북방상점3	66	0
104	북방상점4	67	0
105	주막행자	69	0
106	황만령	555	0
107	도재영	538	0
108	도성연	554	0
109	도재천	553	0
110	도주영	540	0
111	도태연	551	0
112	원주민장로	601	0
113	원주민정령사	585	1
114	원주민주술사	611	7
115	준준	599	0
116	전전	617	0
117	조염	559	0
118	진진	600	0
119	찬찬	613	0
120	탕탕대감	602	0
121	퉁퉁대감	603	0
122	통통대감	604	0
123	폭염도미용사	547	0
124	폭염왕장식품	594	0
125	화사화사	581	2
126	화화	556	0
127	환상의섬무당	661	0
128	환상의섬잡화상	607	0
129	환상의섬갑옷상	609	0
130	환상의섬대장장이	612	0
131	환상의섬주모	606	0
132	환상의섬포목상	608	0
133	돌순이	597	0
134	돌돌이	598	0
135	남문행자	69	0
136	선착행자	69	0
137	용소환	562	0
138	마석주	548	0
139	천금장인	203	0
140	백의장인	152	2
141	여행객	3	0
143	중국공주	332	0
144	거북장군	398	0
145	말단선원	426	27
146	도사팔괘	3	0
147	북천황신수	253	0
148	호박	441	0
149	무한장	87	0
150	청룡공성엔피시	441	0
151	주작공성엔피시	441	1
152	백호공성엔피시	441	2
153	현무공성엔피시	441	3
154	혜천대사	301	0
155	수선도사	212	0
156	한빙장	87	3
157	무달	78	3
158	무두	78	3
159	장돌뱅이	87	3
160	백열장	301	0
161	망치상인	487	0
162	표신궁역사가	554	0
163	오엑스	58	0
164	말타기	549	0
165	천층상점	541	0
166	일본포목상	6	4
167	전전	615	0
168	먹염	542	0
169	고구려선원	210	0
170	부여미궁방천화극상	58	0
171	환상의섬푸줏간	610	0
172	금고주인	215	0
173	비단장수	490	0
174	진백랑	590	0
175	고구려무도가	300	0
176	소림사승려	439	0
177	원주민주술사	611	0
178	중국갑옷	489	0
179	중국주모	486	0
180	나무꾼	487	0
181	안도	206	0
182	마타	544	0
183	조왕의동생	45	0
184	돈유합의달인	41	0
185	표신궁역사가	554	0
186	천선도사	52	0
187	파바로	611	1
