//이름	클릭	이벤	구매	판매	보관	성황	명명	수리
북방무기상인	북방무기상인	-	-	129	0	0	0	0
황금교환	황금교환	-	-	-	0	0	0	0
기간제아이템교환	기간제아이템교환	-	-	-	0	0	0	0
캐쉬판매원	캐쉬판매원	-	-	-	0	0	0	0
레이드교환	레이드교환	-	-	-	0	0	0	0
퀴즈방도우미	퀴즈방도우미	-	-	-	0	0	0	0
정답도우미	정답도우미	-	-	-	0	0	0	0
유저퀴즈도우미	유저퀴즈도우미	-	-	-	0	0	0	0
주작성문주	주작성문주	-	-	-	0	0	0	0
현무성문주	현무성문주	-	-	-	0	0	0	0
백호성문주	백호성문주	-	-	-	0	0	0	0
청룡성문주	청룡성문주	-	-	-	0	0	0	0
OX퀴즈소녀	OX퀴즈소녀	-	-	-	0	0	0	0
광대	광대	-	-	-	0	0	0	0
달	달	-	-	-	0	0	0	0
백세인	백세인	-	-	-	0	0	0	0
백리향	백리향	-	-	-	0	0	0	0
세시촌장	세시촌장	-	-	-	0	0	0	0
투명달	-	@투명달	-	-	0	0	0	0
투명달끝	-	@투명달끝	-	-	0	0	0	0
이벤트옷상인	이벤트옷상인	유카타충전	-	-	0	0	0	0
보내주기	보내주기	-	-	-	0	0	0	0
상인	상인	-	117	118	1	0	0	1
휴식의방	휴식의방	-	-	-	0	0	0	0

선필대련심판	선필대련심판	-	-	-	0	0	0	0
휴식의방종료	휴식의방종료	-	-	-	0	0	0	0
만리금천지	만리금천지	-	-	-	0	0	0	0
낙랑	nakrang	-	-	-	0	0	0	0
쥬모	주모	-	0	1	1	0	0	0
소소	소소	-	-	-	0	0	0	0
영혼사	영혼사	-	-	-	0	0	0	0
성황할머니	성황할머니	-	-	-	0	1	0	0
문파대리인	문파대리인	-	-	-	0	0	0	0
천층상점	천층상점	-	-	-	0	0	0	0
용인	용인	-	-	-	0	0	0	0
천용인	천용인	-	-	-	0	0	0	0
기간제	기간제	-	-	-	0	0	0	0
교환권	교환권	-	-	-	0	0	0	0
팔세지도	팔세지도	-	-	-	0	0	0	0
천층상인	천층상인	-	119	-	0	0	0	0
스탬프	스탬프	-	-	-	0	0	0	0
기부왕	기부왕	-	-	-	0	0	0	0
용의방패제작	용의방패제작	-	-	-	0	0	0	0
원주민장로	원주민장로	-	-	-	0	0	0	0
하나교환	하나교환	-	-	-	0	0	0	0
// 부여성
예쁜이	예쁜이	-	10	10	0	0	0	0
뭉치	뭉치	-	19	19	0	0	0	0
옥이	옥이	-	20	21	0	0	0	0
떡쇠	떡쇠	-	22	23	0	0	1	1
용상인	용상인	-	-	-	0	0	0	0
얼음돌이	얼음돌이	-	-	-	0	0	0	0
부여경비병	부여성경비병	-	-	-	0	0	0	0
부여왕	부여왕	-	-	-	0	0	0	0
타성주모	타성주모	-	66	67	1	0	0	0
동부여떡쇠	동부여떡쇠	-	22	23	0	0	1	1
송원떡쇠	송원떡쇠	-	22	23	0	0	1	1
